"Work_Ref__c","Description__c","State__c","Constituency__c","Implementing_Agency__c","MP_Name__c","Recommended_Amount__c","Exposure__c","Audit_ROI__c","Priority__c","Confidence_Band__c","Signal_Families__c","Work_Type__c","Recommendation_Date__c","Work_Status__c","Evidence_Summary__c","Recommended_Next_Step__c","Suggested_Actions__c","Early_Warning_Level__c","Early_Warning_Reason__c","Compliance_Findings__c","Escalation_Tier__c","Target_Review_Date__c","Investigation_Status__c","Officer_Finding__c","Not_A_Fraud_Finding__c"
"MP3019244-W34366","SUPPLY AND INSTALLATION OF LED SEMI HIGH MAST LIGHT(04 LIGHT WALI 200 WATT) AT 54 DIFFRENT PLACES AT MISHRIKH LOK SABHA AS PER ATTACHEMENT OF LIST (ENCLOSED) PER LED LIGHT COST 171000.00 TOTAL COST 14193000.00","Uttar Pradesh","MISRIKH(SC)","HARDOI(DISTRICT MAGISTRATE HARDOI_IDA)","Ashok Kumar Rawat(17TH Lok Sabha)","13840000.00","5112341.00","24090378.00","0.9424","HIGH","4","High mast - mast light - LED","2023-10-08","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 140.7).; Peer duration: Open for longer than 95% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 15 works at a median of Rs 600,000 -> 2024: 31 works at a median of Rs 1,215,970. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","MEDIUM","MEDIUM - open 2.2x longer than the typical completed work of this type in Uttar Pradesh (439 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3020004-W164588","Provision of 5000 Precast, RCC Benches with Back Rest at public places of your parliamentary Constituency (West Delhi) From MPLADS funds.","Delhi","WEST DELHI","WEST(COMMISSIONER MCD WEST)","Parvesh Sahib Singh (17th Lok Sabha)","37735000.00","6739440.00","23710832.00","0.8796","HIGH","3","Sitting bench - rcc benches - RCC","2023-09-29","Open","Peer amount: Recommended amount at the 100th percentile of 61 comparable works (robust z 61.5).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 13 works at a median of Rs 461,445 -> 2026: 5 works at a median of Rs 5,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3017343-W35268","supply and installation of semi high mast light at various public places with each cost 2.48 lakh approx with add upto 133.92 lakh approx.","Uttar Pradesh","Sitting Rajya Sabha","Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA)","Smt. Sangeeta Yadav","13392000.00","4946921.00","23309243.00","0.9424","HIGH","4","High mast - mast light - LED","2023-10-10","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 136.0).; Peer duration: Open for longer than 95% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 20 works at a median of Rs 500,000 -> 2024: 58 works at a median of Rs 2,127,127. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","MEDIUM","MEDIUM - open 2.2x longer than the typical completed work of this type in Uttar Pradesh (439 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017455-W51808","Construction of Community Center in Vellalar street dn-112, Zone-9.","Tamil Nadu","CHENNAI CENTRAL","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Thiru Dayanidhi Maran (17th Lok Sabha)","22500000.00","4966501.00","23242407.00","0.9360","HIGH","4","Community centre - construction community - community center","2023-11-22","Open","Peer amount: Recommended amount at the 100th percentile of 598 comparable works (robust z 44.8).; Peer duration: Open for longer than 91% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.7x longer than the typical completed work of this type in Tamil Nadu (529 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017343-W162408","installation of 69 semi high mast light as per the list","Uttar Pradesh","Sitting Rajya Sabha","DEORIA(DISTRICT MAGISTRATE DEORIA)","Smt. Sangeeta Yadav","19044000.00","7033731.00","23221289.00","0.8254","HIGH","3","High mast - mast light - LED","2024-12-30","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 194.2).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 55%). Before/after - 2025: 122 works at a median of Rs 700,000 -> 2026: 45 works at a median of Rs 315,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3019225-W68167","installation of specific quality of high mast light in different 86 location in mirzapur district (all village list enclosed )","Uttar Pradesh","MIRZAPUR","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Smt Anupriya Patel(17th Lok Sabha)","16822000.00","6475347.00","22781693.00","0.8796","HIGH","3","Mast light - high mast - mini mast","2023-12-22","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 171.3).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","MEDIUM","MEDIUM - open 2.0x longer than the typical completed work of this type in Uttar Pradesh (439 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3019643-W41077","Construction of indoor shuttle court area with wooden flooring and formation of footpath and fixing of outdoor gym equipment at existing play field at central avenue road MKB nagar in Dn-37, Unit-9, Zone-4.","Tamil Nadu","CHENNAI NORTH","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Kalanidhi Veeraswamy (17th Lok Sabha)","22000000.00","4856184.00","22742052.00","0.9366","HIGH","4","Open gym - gym equipment - installation open","2023-10-27","Open","Peer amount: Recommended amount at the 100th percentile of 628 comparable works (robust z 48.3).; Peer duration: Open for longer than 92% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.7x longer than the typical completed work of this type in Tamil Nadu (540 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3019244-W34369","SUPPLY AND INSTALLATION OF LED SEMI HIGH MAST LIGHT(04 LIGHT WALI 200 WATT) AT 67 DIFFRENT PLACES AT MISHRIKH LOK SABHA AS PER ATTACHEMENT OF LIST (ENCLOSED) PER LED LIGHT COST 171000.00 TOTAL COST 11457000.00","Uttar Pradesh","MISRIKH(SC)","HARDOI(DISTRICT MAGISTRATE HARDOI_IDA)","Ashok Kumar Rawat(17TH Lok Sabha)","11457000.00","4232411.00","19943973.00","0.9424","HIGH","4","High mast - mast light - LED","2023-10-08","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 116.1).; Peer duration: Open for longer than 95% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 15 works at a median of Rs 600,000 -> 2024: 31 works at a median of Rs 1,215,970. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","MEDIUM","MEDIUM - open 2.2x longer than the typical completed work of this type in Uttar Pradesh (439 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3018396-W103765","Additional Fund for Community Hall, Alwarpet","Tamil Nadu","CHENNAI SOUTH","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","T Sumathy (A) Thamizhachi Thangapandian","25000000.00","5193758.00","18111617.00","0.8718","HIGH","3","Community hall - construction community - hall village","2024-02-12","Open","Peer amount: Recommended amount at the 100th percentile of 598 comparable works (robust z 50.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.6x longer than the typical completed work of this type in Tamil Nadu (529 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3019052-W78954","G.I. Coated Water Tanker capacity 5000 Litre with fire fighting pump with 900*20 tyre (Along with terafill water filter capacity 30 litre x 11 nos for each tanker) Drinking water plant","Madhya Pradesh","GUNA","ASHOKNAGAR(DISTRICT COLLECTOR ASHOKNAGAR_IDA)","Krishna Pal Singh Yadav(17th Lok Sabha)","26756840.00","5124683.00","18029761.00","0.8796","HIGH","3","Tanker - mobile water - purchase mobile","2024-01-10","Open","Peer amount: Recommended amount at the 100th percentile of 2556 comparable works (robust z 923.4).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 8 works at a median of Rs 198,092 -> 2024: 13 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","MEDIUM","MEDIUM - open 3.4x longer than the typical completed work of this type in Madhya Pradesh (253 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3018396-W237563","Construction of New Community Hall at Vengaivasal Main Road Vengaivasal panchayat Shollinganallur Constituency","Tamil Nadu","CHENNAI SOUTH","CHENGALPATTU(District Collector Chengalpattu_IDA)","T Sumathy (A) Thamizhachi Thangapandian","18500000.00","3843910.00","17733990.00","0.9227","HIGH","4","Community hall - construction community - hall village","2023-09-25","Open","Peer amount: Recommended amount at the 100th percentile of 598 comparable works (robust z 36.4).; Peer duration: Open for longer than 98% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 60%). Before/after - 2024: 46 works at a median of Rs 250,000 -> 2025: 265 works at a median of Rs 400,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.8x longer than the typical completed work of this type in Tamil Nadu (529 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3042529-W210661","Installation of 80 six way 200 watt electric high mast lights on diffrent places.","Uttar Pradesh","SITAPUR","SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA)","RAKESH RATHOR","13383520.00","4943789.00","17393338.00","0.8796","HIGH","3","High mast - mast light - LED","2025-06-20","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 136.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 98 works at a median of Rs 331,712 -> 2025: 44 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3017471-W282269","Installation of 125 LED Semi Highmast Lights for rural and urban areas as per enclosed list","Uttar Pradesh","SHAHJAHANPUR(SC)","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","31200000.00","4848603.00","17058449.00","0.8796","HIGH","3","Highmast light - installation highmast - mask light","2026-05-20","Open","Peer amount: Recommended amount at the 100th percentile of 4191 comparable works (robust z 240.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 737 works at a median of Rs 129,700 -> 2024: 11 works at a median of Rs 9,900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
"MP3019225-W229418","recommended work in letter number 215 for narayanpur block","Uttar Pradesh","MIRZAPUR","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Smt Anupriya Patel","19747300.00","4847159.00","17053369.00","0.8796","HIGH","3","Taluk balance - commuinity - executive agency","2025-08-26","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 201.4).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","District Monitoring","2026-06-09","New","","TRUE"
