"Work_Ref__c","Investigation_Case__r.Work_Ref__c","Signal__c","Family__c","Detail__c"
"MP3019244-W34369","MP3019244-W34369","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 116.1)."
"MP3019244-W34369","MP3019244-W34369","Peer duration","duration","Open for longer than 95% of comparable works still in progress."
"MP3019244-W34369","MP3019244-W34369","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 15 works at a median of Rs 600,000 -> 2024: 31 works at a median of Rs 1,215,970. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019244-W34369","MP3019244-W34369","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018396-W103765","MP3018396-W103765","Peer amount","amount","Recommended amount at the 100th percentile of 598 comparable works (robust z 50.0)."
"MP3018396-W103765","MP3018396-W103765","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018396-W103765","MP3018396-W103765","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019052-W78954","MP3019052-W78954","Peer amount","amount","Recommended amount at the 100th percentile of 2556 comparable works (robust z 923.4)."
"MP3019052-W78954","MP3019052-W78954","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 8 works at a median of Rs 198,092 -> 2024: 13 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019052-W78954","MP3019052-W78954","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018396-W237563","MP3018396-W237563","Peer amount","amount","Recommended amount at the 100th percentile of 598 comparable works (robust z 36.4)."
"MP3018396-W237563","MP3018396-W237563","Peer duration","duration","Open for longer than 98% of comparable works still in progress."
"MP3018396-W237563","MP3018396-W237563","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 60%). Before/after - 2024: 46 works at a median of Rs 250,000 -> 2025: 265 works at a median of Rs 400,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018396-W237563","MP3018396-W237563","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042529-W210661","MP3042529-W210661","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 136.0)."
"MP3042529-W210661","MP3042529-W210661","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 98 works at a median of Rs 331,712 -> 2025: 44 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042529-W210661","MP3042529-W210661","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017471-W282269","MP3017471-W282269","Peer amount","amount","Recommended amount at the 100th percentile of 4191 comparable works (robust z 240.0)."
"MP3017471-W282269","MP3017471-W282269","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 737 works at a median of Rs 129,700 -> 2024: 11 works at a median of Rs 9,900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017471-W282269","MP3017471-W282269","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019225-W229418","MP3019225-W229418","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 201.4)."
"MP3019225-W229418","MP3019225-W229418","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019225-W229418","MP3019225-W229418","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042486-W214766","MP3042486-W214766","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 33.6)."
"MP3042486-W214766","MP3042486-W214766","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 878 works at a median of Rs 21,109 -> 2024: 557 works at a median of Rs 177,842. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042486-W214766","MP3042486-W214766","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017368-W239327","MP3017368-W239327","Peer amount","amount","Recommended amount at the 100th percentile of 50 comparable works (robust z 0.0)."
"MP3017368-W239327","MP3017368-W239327","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 519 works at a median of Rs 100,000 -> 2024: 227 works at a median of Rs 300,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017368-W239327","MP3017368-W239327","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019052-W85245","MP3019052-W85245","Peer amount","amount","Recommended amount at the 100th percentile of 2556 comparable works (robust z 839.0)."
"MP3019052-W85245","MP3019052-W85245","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 8 works at a median of Rs 198,092 -> 2024: 13 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019052-W85245","MP3019052-W85245","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042501-W259219","MP3042501-W259219","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 127.2)."
"MP3042501-W259219","MP3042501-W259219","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 98 works at a median of Rs 331,712 -> 2025: 44 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042501-W259219","MP3042501-W259219","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042511-W270346","MP3042511-W270346","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 117.3)."
"MP3042511-W270346","MP3042511-W270346","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 1400 works at a median of Rs 20,900 -> 2026: 57 works at a median of Rs 750,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042511-W270346","MP3042511-W270346","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017338-W201325","MP3017338-W201325","Peer amount","amount","Recommended amount at the 100th percentile of 36047 comparable works (robust z 14.2)."
"MP3017338-W201325","MP3017338-W201325","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017338-W201325","MP3017338-W201325","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018956-W86982","MP3018956-W86982","Peer amount","amount","Recommended amount at the 100th percentile of 63 comparable works (robust z 365.9)."
"MP3018956-W86982","MP3018956-W86982","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 64%). Before/after - 2023: 10 works at a median of Rs 2,500,000 -> 2024: 49 works at a median of Rs 900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018956-W86982","MP3018956-W86982","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018356-W114328","MP3018356-W114328","Peer amount","amount","Recommended amount at the 99th percentile of 144 comparable works (robust z 11.1)."
"MP3018356-W114328","MP3018356-W114328","Peer duration","duration","Open for longer than 90% of comparable works still in progress."
"MP3018356-W114328","MP3018356-W114328","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018356-W114328","MP3018356-W114328","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042529-W174147","MP3042529-W174147","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 115.6)."
"MP3042529-W174147","MP3042529-W174147","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 98 works at a median of Rs 331,712 -> 2025: 44 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042529-W174147","MP3042529-W174147","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017474-W16541","MP3017474-W16541","Peer amount","amount","Recommended amount at the 99th percentile of 159 comparable works (robust z 16.9)."
"MP3017474-W16541","MP3017474-W16541","Peer duration","duration","Open for longer than 92% of comparable works still in progress."
"MP3017474-W16541","MP3017474-W16541","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 69%). Before/after - 2025: 111 works at a median of Rs 605,000 -> 2026: 17 works at a median of Rs 187,100. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017474-W16541","MP3017474-W16541","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017474-W16542","MP3017474-W16542","Peer amount","amount","Recommended amount at the 99th percentile of 159 comparable works (robust z 16.9)."
"MP3017474-W16542","MP3017474-W16542","Peer duration","duration","Open for longer than 92% of comparable works still in progress."
"MP3017474-W16542","MP3017474-W16542","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 69%). Before/after - 2025: 111 works at a median of Rs 605,000 -> 2026: 17 works at a median of Rs 187,100. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017474-W16542","MP3017474-W16542","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017474-W16543","MP3017474-W16543","Peer amount","amount","Recommended amount at the 99th percentile of 159 comparable works (robust z 16.9)."
"MP3017474-W16543","MP3017474-W16543","Peer duration","duration","Open for longer than 92% of comparable works still in progress."
"MP3017474-W16543","MP3017474-W16543","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 69%). Before/after - 2025: 111 works at a median of Rs 605,000 -> 2026: 17 works at a median of Rs 187,100. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017474-W16543","MP3017474-W16543","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017474-W16544","MP3017474-W16544","Peer amount","amount","Recommended amount at the 99th percentile of 159 comparable works (robust z 16.9)."
"MP3017474-W16544","MP3017474-W16544","Peer duration","duration","Open for longer than 92% of comparable works still in progress."
"MP3017474-W16544","MP3017474-W16544","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 69%). Before/after - 2025: 111 works at a median of Rs 605,000 -> 2026: 17 works at a median of Rs 187,100. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017474-W16544","MP3017474-W16544","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042459-W184631","MP3042459-W184631","Peer amount","amount","Recommended amount at the 100th percentile of 1445 comparable works (robust z 29.6)."
"MP3042459-W184631","MP3042459-W184631","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 65%). Before/after - 2024: 122 works at a median of Rs 909,000 -> 2025: 83 works at a median of Rs 1,500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042459-W184631","MP3042459-W184631","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042496-W238655","MP3042496-W238655","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 127.9)."
"MP3042496-W238655","MP3042496-W238655","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 171 works at a median of Rs 19,926 -> 2025: 22 works at a median of Rs 1,716,646. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042496-W238655","MP3042496-W238655","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017455-W51814","MP3017455-W51814","Peer amount","amount","Recommended amount at the 99th percentile of 598 comparable works (robust z 29.1)."
"MP3017455-W51814","MP3017455-W51814","Peer duration","duration","Open for longer than 91% of comparable works still in progress."
"MP3017455-W51814","MP3017455-W51814","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017455-W51814","MP3017455-W51814","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042499-W216110","MP3042499-W216110","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 109.0)."
"MP3042499-W216110","MP3042499-W216110","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 574 works at a median of Rs 26,629 -> 2024: 204 works at a median of Rs 239,380. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042499-W216110","MP3042499-W216110","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019225-W229414","MP3019225-W229414","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 117.4)."
"MP3019225-W229414","MP3019225-W229414","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019225-W229414","MP3019225-W229414","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019643-W40701","MP3019643-W40701","Peer amount","amount","Recommended amount at the 100th percentile of 152 comparable works (robust z 11.0)."
"MP3019643-W40701","MP3019643-W40701","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019643-W40701","MP3019643-W40701","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042496-W258118","MP3042496-W258118","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 123.9)."
"MP3042496-W258118","MP3042496-W258118","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 171 works at a median of Rs 19,926 -> 2025: 22 works at a median of Rs 1,716,646. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042496-W258118","MP3042496-W258118","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019259-W152844","MP3019259-W152844","Peer amount","amount","Recommended amount at the 98th percentile of 55 comparable works (robust z 21.8)."
"MP3019259-W152844","MP3019259-W152844","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 60%). Before/after - 2025: 149 works at a median of Rs 306,800 -> 2026: 92 works at a median of Rs 490,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019259-W152844","MP3019259-W152844","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017332-W282964","MP3017332-W282964","Peer amount","amount","Recommended amount at the 100th percentile of 4191 comparable works (robust z 191.9)."
"MP3017332-W282964","MP3017332-W282964","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 737 works at a median of Rs 129,700 -> 2024: 11 works at a median of Rs 9,900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017332-W282964","MP3017332-W282964","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017329-W283439","MP3017329-W283439","Peer amount","amount","Recommended amount at the 100th percentile of 4191 comparable works (robust z 159.1)."
